Neighborhood,Latitude,Longitude,District,Venue,VenueLatitude,VenueLongitude,Category,Distance
Downtown,39.097230000000025,-84.51963999999998,1,Paul Brown Stadium,39.095626661154704,-84.51611987619555,Football Stadium,352
Downtown,39.097230000000025,-84.51963999999998,1,Kitty's Sports Grill,39.09808245681822,-84.51584163922493,Sports Bar,341
Downtown,39.097230000000025,-84.51963999999998,1,Orchids at Palm Court,39.10062565092404,-84.51433539390564,New American Restaurant,594
Downtown,39.097230000000025,-84.51963999999998,1,Maplewood Kitchen and Bar,39.1015132,-84.5151132,Breakfast Spot,616
Downtown,39.097230000000025,-84.51963999999998,1,Hilton Cincinnati Netherland Plaza,39.1008857,-84.5143841,Hotel,609
Downtown,39.097230000000025,-84.51963999999998,1,Mita's,39.10116127071095,-84.51472571321997,Latin American Restaurant,609
Downtown,39.097230000000025,-84.51963999999998,1,Taste of Belgium - The Banks,39.09692916207193,-84.51202420497413,Bistro,658
Downtown,39.097230000000025,-84.51963999999998,1,Abby Girl Sweets,39.10105732445657,-84.51431402120653,Cupcake Shop,627
Downtown,39.097230000000025,-84.51963999999998,1,Sleepy Bee Cafe,39.10005539529861,-84.51227164823638,Café,710
Downtown,39.097230000000025,-84.51963999999998,1,John G & Phyllis W Smale Riverfront Park,39.094935,-84.511208,Park,771
Downtown,39.097230000000025,-84.51963999999998,1,Blind Pig,39.09868868896796,-84.51341046802054,Speakeasy,562
Downtown,39.097230000000025,-84.51963999999998,1,National Underground Railroad Freedom Center,39.09743964987947,-84.51128405289326,History Museum,722
Downtown,39.097230000000025,-84.51963999999998,1,The Bar at Palm Court,39.1007538111442,-84.514493690248,Hotel Bar,592
Downtown,39.097230000000025,-84.51963999999998,1,Fountain Square,39.10144795069847,-84.51251907493918,Plaza,773
Downtown,39.097230000000025,-84.51963999999998,1,Lola's,39.09872025515388,-84.51346087075879,Coffee Shop,559
Downtown,39.097230000000025,-84.51963999999998,1,Aster On Fourth,39.100030309495565,-84.51225388668136,Cocktail Bar,710
Downtown,39.097230000000025,-84.51963999999998,1,Carew Tower Observation Deck,39.100783600594276,-84.51329189692116,Scenic Lookout,676
Downtown,39.097230000000025,-84.51963999999998,1,Graeter's Ice Cream,39.1014868,-84.5118598,Ice Cream Shop,822
Downtown,39.097230000000025,-84.51963999999998,1,Yard House,39.096804259189355,-84.51051003258947,American Restaurant,790
Downtown,39.097230000000025,-84.51963999999998,1,Via Vite,39.10151941229825,-84.51257172620247,Italian Restaurant,775
Downtown,39.097230000000025,-84.51963999999998,1,Saks Fifth Avenue,39.100803476607595,-84.51476401882867,Department Store,579
Downtown,39.097230000000025,-84.51963999999998,1,Hathaway's Diner,39.100674468143026,-84.51428728720218,American Restaurant,600
Downtown,39.097230000000025,-84.51963999999998,1,Straus Tobbaconist,39.10045621383704,-84.51119115432952,Smoke Shop,813
Downtown,39.097230000000025,-84.51963999999998,1,Total Juice Plus,39.103374705578986,-84.51354338150655,Juice Bar,863
Downtown,39.097230000000025,-84.51963999999998,1,21c Museum Hotels - Cincinnati,39.103165198503255,-84.51208731865279,Hotel,928
Downtown,39.097230000000025,-84.51963999999998,1,Americano,39.101495505578555,-84.51475135584919,Burger Joint,635
Downtown,39.097230000000025,-84.51963999999998,1,Sotto,39.102797145086065,-84.5112633595765,Italian Restaurant,952
Downtown,39.097230000000025,-84.51963999999998,1,Boca,39.10278464763958,-84.51130154028056,Restaurant,949
Downtown,39.097230000000025,-84.51963999999998,1,Contemporary Arts Center,39.10268457427867,-84.51181102495163,Art Museum,908
Downtown,39.097230000000025,-84.51963999999998,1,Aronoff Center for the Arts,39.103559573783585,-84.51193246608918,Performing Arts Venue,969
Downtown,39.097230000000025,-84.51963999999998,1,Moerlein Lager House,39.096311,-84.508673,Gastropub,952
Downtown,39.097230000000025,-84.51963999999998,1,Carol Ann's Carousel,39.09609943540363,-84.51143059786375,Theme Park Ride / Attraction,720
Downtown,39.097230000000025,-84.51963999999998,1,Cincinnati Reds Hall of Fame & Museum,39.09731493425663,-84.50854343217307,Museum,958
Downtown,39.097230000000025,-84.51963999999998,1,Cafe De Paris,39.104384104001454,-84.51450141553399,Café,911
Downtown,39.097230000000025,-84.51963999999998,1,Knockback Nat's,39.1037127711672,-84.51388574348721,Bar,876
Downtown,39.097230000000025,-84.51963999999998,1,Nada,39.102941384644005,-84.51168030634224,Mexican Restaurant,936
Downtown,39.097230000000025,-84.51963999999998,1,FUSIAN,39.10271993795079,-84.51292356190186,Sushi Restaurant,842
Downtown,39.097230000000025,-84.51963999999998,1,Morton's The Steakhouse,39.10095834327509,-84.51308883726591,Steakhouse,701
Downtown,39.097230000000025,-84.51963999999998,1,Hyatt Regency Cincinnati,39.10080306232142,-84.51576548482204,Hotel,519
Downtown,39.097230000000025,-84.51963999999998,1,Hampton Inn & Suites,39.1030486,-84.5135775,Hotel,832
