,Foods,HappyHour,College_School,Workout,Transport,Shopping,Sports,Nightlife,Services,Entertainment
0,1,0,0,1,0,4,0,0,1,0
1,8,0,0,0,1,3,1,0,0,0
2,24,2,0,2,2,9,0,1,3,3
3,2,1,0,0,1,1,3,0,0,3
4,6,0,0,3,1,3,0,0,1,2
5,3,0,0,0,2,5,2,0,2,1
6,17,2,0,1,1,6,0,1,3,19
7,7,3,0,0,0,4,0,0,1,4
8,10,5,0,3,1,3,1,0,2,10
9,36,4,0,0,1,11,2,2,8,11
10,42,15,0,2,1,6,2,3,9,27
11,4,0,0,0,4,4,4,1,2,2
12,8,1,0,0,0,4,1,1,0,5
13,12,6,0,1,1,6,2,0,1,8
14,1,0,0,0,0,1,1,0,0,0
15,0,0,0,0,0,0,1,0,1,0
16,16,3,2,1,0,2,3,1,2,6
17,8,1,0,0,2,8,0,0,1,2
18,47,3,0,2,1,30,1,3,9,7
19,4,1,0,0,1,2,0,0,0,4
20,1,2,0,1,0,0,5,0,0,13
21,5,0,0,0,2,0,0,1,0,4
22,2,1,0,1,0,4,0,0,2,1
23,1,0,0,0,1,0,1,0,0,0
24,11,9,0,1,1,3,2,2,1,20
25,1,0,0,0,1,2,0,0,0,0
26,5,3,0,0,0,2,2,0,2,11
27,9,4,0,0,0,5,0,2,1,5
28,11,1,0,1,0,10,2,0,4,3
29,0,0,0,1,0,2,0,0,1,1
30,3,0,0,0,1,1,0,0,1,0
31,15,11,0,1,1,11,1,2,3,14
32,36,6,0,6,1,33,0,3,8,11
33,37,28,0,2,0,19,0,4,2,36
34,3,0,0,0,2,5,3,0,1,0
35,42,28,0,1,0,13,0,4,2,38
36,12,3,0,1,1,6,1,1,1,6
37,13,1,0,1,1,32,0,1,0,4
38,0,0,0,0,1,1,0,0,0,3
39,8,0,0,1,1,8,0,0,2,0
40,1,2,0,0,0,2,0,0,0,2
41,1,0,0,0,1,0,2,0,1,2
42,3,1,0,0,2,3,1,1,1,1
43,4,0,0,0,0,2,0,0,0,0
44,7,3,0,2,2,8,1,0,4,5
45,21,4,0,3,0,6,1,1,0,4
46,4,1,0,0,2,3,1,0,0,1
47,21,7,0,1,2,11,0,0,5,13
48,7,0,0,1,1,2,1,0,1,7
49,5,0,0,0,0,6,0,1,3,1
50,4,2,0,2,0,3,1,0,1,2
51,0,0,0,1,0,0,1,0,1,0
